message,label
"Click here to register for the free coding workshop.",not_spam
"Your reward is a thank-you card from the team.",not_spam
"The lab computer needs a security update from IT.",not_spam
"Can you bring your notes to our meeting?",not_spam
"There is a cash prize for the science fair winner.",not_spam
"The store offered a deal on the supplies we need.",not_spam
"I selected a restaurant for dinner tonight.",not_spam
"Please claim your seat before the movie starts.",not_spam
"The final notice for tuition is in the student portal.",not_spam
"Your account is active and everything looks normal.",not_spam
"The professor will post the quiz scores tomorrow.",not_spam
"We found your missing water bottle in the gym.",not_spam
"The club has an exclusive event for new members.",not_spam
"Please pay the utility bill before Friday.",not_spam
"You have been chosen as the discussion leader.",not_spam
"The student government grant application opens Monday.",not_spam
"I got a new phone number; save it when you can.",not_spam
"The package pickup desk closes at five.",not_spam
"Your reserved book is available at the library.",not_spam
"We are offering a free lunch during orientation.",not_spam
"The professor says today's class is online.",not_spam
"The reward for finishing the challenge is extra credit.",not_spam
"A few seats remain for the campus tour.",not_spam
"Please review the attached meeting agenda.",not_spam
"The finance office confirmed my scholarship payment.",not_spam
"Can you help me move this weekend?",not_spam
"The student store has a sale on notebooks.",not_spam
"Your request to borrow the camera was approved.",not_spam
"Don't forget to submit your timesheet today.",not_spam
"The workshop starts in ten minutes.",not_spam
"I will send the photos after dinner.",not_spam
"The campus shuttle is running late.",not_spam
"Thank you for helping with the event.",not_spam
"The deadline for the essay was extended.",not_spam
"Let's meet outside the library at noon.",not_spam
"I saved you a seat in the lecture hall.",not_spam
"Your library hold is ready to collect.",not_spam
